count,hue,saturation,value,steps,code,
0,360,255,255,0,-65536,red
1,345,223,255,2.5,-57256,
2,330,191,255,5,-48992,
3,315,159,255,7.5,-40745,
4,300,128,255,10,-32769,magenta
5,303.75,135,255,9.375,-34570,
6,292.5,143,255,8.75,-1150721,
7,288.75,151,255,8.125,-2004737,
8,285,159,255,7.5,-2662145,
9,281.25,167,255,6.875,-3516161,
10,277.5,175,255,6.25,-4435713,
11,273.75,183,255,5.625,-5420801,
12,270,191,255,5,-6274817,
13,266.25,199,255,4.375,-7456513,
14,262.5,207,255,3.75,-8638209,
15,258.75,215,255,3.125,-9950977,
16,255,223,255,2.5,-11001601,
17,251.25,231,255,1.875,-12445441,
18,247.5,239,255,1.25,-13889281,
19,243.75,247,255,0.625,-15464193,
20,240,255,255,0,-16776961,blue
